순위,战略大品类Tag,전략대분류_KO,게임수,Gross_KRW_원_12개월,Gross_KRW_억원_12개월,Gross_USD_12개월,대표게임
1,SLG/전략게임,SLG/전략게임,143,15150467856422.287,151504.67856422288,10377032778.37143,"三国志·战略版, 阴阳师, 无尽冬日, 万国觉醒, 乱世王者, 三国：谋定天下, 问道, 梦幻模拟战"
2,ARPG,ARPG,134,15096010818896.004,150960.10818896003,10339733437.600002,"地下城与勇士：起源, 完美世界, 我叫MT4, 暗黑破坏神：不朽-星际争霸, 晶核, 燕云十六声, 永恒纪元, 冒险岛：枫之传说"
3,MMORPG,MMORPG,75,11485385677239.432,114853.85677239431,7866702518.657145,"逆水寒, 天涯明月刀·世界, 倩女幽魂, 天龙八部手游, 新剑侠情缘, 一梦江湖, 热血传奇, 新笑傲江湖"
4,FPS/TPS,FPS/TPS,16,6983523243789.143,69835.23243789142,4783235098.485714,"和平精英, 无畏契约：源能行动, 全民突击, 向僵尸开炮-尸潮来袭, 穿越火线-枪战王者, 使命召唤手游, 荒野行动, 暗区突围"
5,SRPG,SRPG,32,6702401142690.287,67024.01142690287,4590685714.17143,"梦幻西游, 大话西游, 三角洲行动, 长安幻想, 梦幻诛仙, 梦幻西游三维版, 梦幻新诛仙.魔天音, 幻唐志：逍遥外传"
6,서브컬처,서브컬처,43,5376907558326.857,53769.075583268575,3682813396.114286,"原神·空月之歌, 崩坏：星穹铁道, 明日方舟, 风之大陆, 绝区零, 斗破苍穹：异火重燃, 崩坏3, 鸣潮 - 赛博朋克联动"
7,캐주얼,캐주얼,91,5044251740409.142,50442.51740409141,3454966945.485713,"剑与远征 - AFK, 一念逍遥·萌兽服, 魂斗罗:归来, 最强蜗牛-休闲放置佳作, 荒野乱斗, 弹壳特攻队, 天天酷跑, 出发吧麦芬"
8,카드게임,카드게임,88,4774883148099.427,47748.83148099427,3270467909.6571417,"哈利波特：魔法觉醒, 金铲铲之战, 三国志幻想大陆-六周年, 少年三国志2-马年春节版本开启, 英雄联盟电竞经理, 咸鱼之王, 魔法门之英雄无敌：战争纪元, 放开那三国3"
9,경기/스포츠·레이싱,경기/스포츠·레이싱,68,4719307680701.717,47193.07680701717,3232402521.0285735,"QQ飞车, 跑跑卡丁车官方竞速版, 蛋仔派对, 巅峰极速-趣游华夏, 元梦之星, 全明星街球派对 - NBA正版授权, 美职篮全明星, 灌篮高手 正版授权手游"
10,애니메이션,애니메이션,28,3345275557005.142,33452.75557005142,2291284628.085714,"火影忍者, 斗罗大陆:魂师对决, 航海王热血航线-正版授权, 圣斗士星矢-官方正版(腾讯), 航海王：燃烧意志-正版授权, 斗罗大陆：武魂觉醒, 火影忍者：忍者新世代, 斗罗大陆"
11,여성향 전용,여성향 전용,30,2870042339373.714,28700.42339373714,1965782424.2285712,"恋与深空, 闪耀暖暖, 天谕, 恋与制作人, 世界之外, 以闪亮之名, 光与夜之恋, 如鸢"
12,MOBA,MOBA,9,2293924810878.8574,22939.24810878857,1571181377.314286,"王者荣耀, 英雄联盟手游, 决战！平安京, 宝可梦大集结, 王者荣耀世界, 决胜巅峰, 云•王者荣耀, 英魂之刃-5V5公平竞技MOBA手游"
13,경영/시뮬레이션,경영/시뮬레이션,35,1305452618340.0,13054.526183400001,894145629.0,"我的花园世界, 奥比岛：梦想国度, 心动小镇, 叫我大掌柜, 江南百景图, 时光杂货店, 这城有良田, 桃源深处有人家"
14,보드/체스/마작,보드/체스/마작,141,1111095769457.7146,11110.957694577144,761024499.6285715,"捕鱼大咖-畅爽3D街机捕鱼游戏, 捕鱼大作战-街机打鱼游戏王者, 海王捕鱼-官方版, 乐乐捕鱼, 富豪麻将, 途游休闲捕鱼-百万倍街机王者大作战, 捕鱼炸翻天-修仙捕鱼, 乐鸿捕鱼-3D全民鸿运街机欢乐捕鱼高爆版"
15,음악/댄스,음악/댄스,14,716608145995.429,7166.08145995429,490827497.2571431,"QQ炫舞, 劲舞时代-网易云音乐现已接入, 偶像梦幻祭2, 初音未来：缤纷舞台, 炫舞浪漫爱, 刀剑乱舞-Online-, 拳皇97OL- 登录领不知火舞, 音乐世界赛特斯2"
16,비행 슈팅,비행 슈팅,10,470460796620.5715,4704.6079662057155,322233422.3428571,"全民飞机大战, 世界启元 - 文明正版IP合作, 雷霆战机：集结-三体联动, 擎天战机, 手机反恐特别行动, 现代战舰 - 送055大驱, 雷霆小分队-俯视角吃鸡, 巅峰坦克:装甲战歌"
17,퍼즐,퍼즐,35,374331517792.5714,3743.315177925714,256391450.54285717,"梦幻花园 - Gardenscapes, 梦幻家园 - Homescapes, 天天爱消除, 开心消消乐, 肥鹅健身房, 龙谷奇兵-好玩解压的魔幻三消策略游戏, 海滨消消乐, 假日乐消消"
18,"머지, 퍼즐, 합성","머지, 퍼즐, 합성",8,65331517107.428566,653.3151710742857,44747614.45714285,"幻兽爱合成, 浪漫餐厅™-Gossip Harbor, 梦幻旅行, 梦幻庄园, 向往的生活官方游戏, 召唤与合成, 爆炸奇兵, X2 Blocks: 2048 数字游戏"
