순위,게임명_중문,게임명_한글_초안,개발사_한글,개발사_중문,战略大品类Tag,战略细分品类Tag,전략대분류_KO,전략세부분류_KO,전략Tag_신뢰도,ST_대표장르_KO,ST_세부장르_KO,Qimai_장르_KO,매출집계_시작일,매출집계_종료일,출시일_기준,iOS_Net_USD_12개월,Gross_USD_12개월,Gross_KRW_원_12개월,Gross_KRW_억원_12개월,App_ID,AppStore_URL,Qimai_URL,SensorTower_URL,개발사_위치_중문,개발사_위치_한글,개발사_지역_중문,개발사_지역_한글,개발사_위치_위도,개발사_위치_경도,개발사_위치_신뢰도,개발사_위치_근거,iOS_Gross_KRW_원_12개월,iOS_Gross_KRW_억원_12개월,iOS_Gross_USD_12개월,최근12개월_Gross_USD_12개월,최근12개월_Gross_KRW_원_12개월,최근12개월_Gross_KRW_억원_12개월,최근12개월_iOS_Net_USD_12개월,최근12개월_매출집계_시작일,최근12개월_매출집계_종료일,최근12개월_iOS_Gross_KRW_원_12개월,최근12개월_iOS_Gross_KRW_억원_12개월,최근12개월_iOS_Gross_USD_12개월
1,和平精英,和平精英,텐센트,腾讯,FPS/TPS,FPS,FPS/TPS,FPS,상,액션,액션/전략,액션/전략,2019-05-01,2020-04-30,매출발생월_추정,922657289.7199996,2636163684.9142847,3848798979974.856,38487.98979974856,1321803705,https://apps.apple.com/cn/app/id1321803705,https://www.qimai.cn/app/baseinfo/appid/1321803705/country/cn,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/he-ping-jing-ying/1321803705/,深圳,선전,广东省,광둥성,22.5431,114.0579,high,대표 개발사/브랜드 매핑: 腾讯 → 深圳,1924399489987.428,19243.99489987428,1318081842.4571424,2014574816.3714285,2941279231902.2856,29412.792319022858,705101185.7299999,2025-06-01,2026-05-31,1470639615951.1428,14706.396159511429,1007287408.1857142
2,地下城与勇士：起源,地下城与勇士：起源,텐센트,腾讯,ARPG,ARPG,ARPG,ARPG,상,RPG,RPG/액션,RPG/액션,2024-05-19,2025-05-18,Qimai_출시일,790987508.0300006,2259964308.657145,3299547890639.431,32995.47890639431,1529851592,https://apps.apple.com/cn/app/id1529851592,https://www.qimai.cn/app/baseinfo/appid/1529851592/country/cn,https://app.sensortower.com/ios/cn/tencent-mobile-games/app/di-xia-cheng-yu-yong-shi-qi-yuan/1529851592/,深圳,선전,广东省,광둥성,22.5431,114.0579,high,대표 개발사/브랜드 매핑: 腾讯 → 深圳,1649773945319.7156,16497.739453197155,1129982154.3285725,592725295.4285712,865378931325.714,8653.78931325714,207453853.39999992,2025-06-01,2026-05-31,432689465662.857,4326.89465662857,296362647.7142856
3,梦幻西游,梦幻西游,넷이즈,网易,SRPG,SRPG,SRPG,SRPG,상,액션,액션/RPG,액션/RPG,2015-06-01,2016-05-31,SensorTower_출시일,516363490.33000034,1475324258.0857153,2153973416805.144,21539.734168051444,940547441,https://apps.apple.com/cn/app/id940547441,https://www.qimai.cn/app/baseinfo/appid/940547441/country/cn,https://app.sensortower.com/ios/cn/wang-yi-yi-dong-you-xi/app/meng-huan-xi-you/940547441/,杭州,항저우,浙江省,저장성,30.2741,120.1551,high,대표 개발사/브랜드 매핑: 网易 → 杭州,1076986708402.572,10769.867084025722,737662129.0428576,576850809.8857137,842202182433.142,8422.02182433142,201897783.4599998,2025-06-01,2026-05-31,421101091216.571,4211.01091216571,288425404.94285685
4,三国志·战略版,三国志·战略版,링시/알리바바,灵犀互娱/阿里,SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,상,시뮬레이션,시뮬레이션/전략,시뮬레이션/전략,2019-09-19,2020-09-18,Qimai_출시일,434115748.6100001,1240330710.314286,1810882837058.8577,18108.828370588577,1474572440,https://apps.apple.com/cn/app/id1474572440,https://www.qimai.cn/app/baseinfo/appid/1474572440/country/cn,https://app.sensortower.com/ios/cn/lingxi-games-inc/app/san-guo-zhi-zhan-lue-ban/1474572440/,广州,광저우,广东省,광둥성,23.1291,113.2644,high,대표 개발사/브랜드 매핑: 灵犀互娱 → 广州,905441418529.4288,9054.414185294288,620165355.157143,196995917.14285713,287614039028.57135,2876.1403902857137,68948570.99999999,2025-06-01,2026-05-31,143807019514.28568,1438.0701951428568,98497958.57142857
5,阴阳师,阴阳师,넷이즈,网易,SLG/전략게임,라이트 SLG,SLG/전략게임,라이트 SLG,상,전략,전략/RPG,전략/RPG,2016-10-02,2017-10-01,SensorTower_출시일,393280293.8999999,1123657982.5714283,1640540654554.2854,16405.406545542854,895670960,https://apps.apple.com/cn/app/id895670960,https://www.qimai.cn/app/baseinfo/appid/895670960/country/cn,https://app.sensortower.com/ios/cn/wang-yi-yi-dong-you-xi/app/yin-yang-shi/895670960/,杭州,항저우,浙江省,저장성,30.2741,120.1551,high,대표 개발사/브랜드 매핑: 网易 → 杭州,820270327277.1427,8202.703272771427,561828991.2857141,76899427.0285714,112273163461.71423,1122.7316346171424,26914799.45999999,2025-06-01,2026-05-31,56136581730.85712,561.3658173085712,38449713.5142857
6,逆水寒,逆水寒,넷이즈,网易,MMORPG,MMORPG,MMORPG,MMORPG,상,RPG,RPG,RPG,2023-06-26,2024-06-25,Qimai_출시일,375934299.03000015,1074097997.228572,1568183075953.7148,15681.830759537148,1541570980,https://apps.apple.com/cn/app/id1541570980,https://www.qimai.cn/app/baseinfo/appid/1541570980/country/cn,https://app.sensortower.com/ios/cn/wang-yi-yi-dong-you-xi/app/ni-shui-han/1541570980/,杭州,항저우,浙江省,저장성,30.2741,120.1551,high,대표 개발사/브랜드 매핑: 网易 → 杭州,784091537976.8574,7840.915379768574,537048998.614286,158996209.11428562,232134465306.857,2321.34465306857,55648673.18999996,2025-06-01,2026-05-31,116067232653.4285,1160.672326534285,79498104.55714281
7,QQ飞车,QQ飞车,텐센트,腾讯,경기/스포츠·레이싱,레이싱/경주,경기/스포츠·레이싱,레이싱/경주,상,액션,액션/레이싱,액션/레이싱,2017-12-27,2018-12-26,Qimai_출시일,316519073.1100003,904340208.8857152,1320336704973.1443,13203.367049731443,1235504705,https://apps.apple.com/cn/app/id1235504705,https://www.qimai.cn/app/baseinfo/appid/1235504705/country/cn,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/qqfei-che/1235504705/,深圳,선전,广东省,광둥성,22.5431,114.0579,high,대표 개발사/브랜드 매핑: 腾讯 → 深圳,660168352486.5721,6601.683524865722,452170104.4428576,120330649.40000002,175682748124.00003,1756.8274812400002,42115727.29000001,2025-06-01,2026-05-31,87841374062.00002,878.4137406200001,60165324.70000001
8,原神·空月之歌,原神·空月之歌,미호요/호요버스,米哈游,서브컬처,서브컬처,서브컬처,서브컬처,상,어드벤처,어드벤처/RPG,어드벤처/RPG,2020-09-25,2021-09-24,Qimai_출시일,311617626.21000004,890336074.8857144,1299890669333.143,12998.90669333143,1467190251,https://apps.apple.com/cn/app/id1467190251,https://www.qimai.cn/app/baseinfo/appid/1467190251/country/cn,https://app.sensortower.com/ios/cn/mihoyo-games/app/yuan-shen-kong-yue-zhi-ge/1467190251/,上海,상하이,上海市,상하이시,31.2304,121.4737,high,대표 개발사/브랜드 매핑: 米哈游 → 上海,649945334666.5715,6499.453346665715,445168037.4428572,294880224.4000001,430525127624.0002,4305.251276240001,103208078.54000002,2025-06-01,2026-05-31,215262563812.0001,2152.6256381200005,147440112.20000005
9,天涯明月刀·世界,天涯明月刀·世界,텐센트,腾讯,MMORPG,MMORPG,MMORPG,MMORPG,상,RPG,RPG,RPG,2020-10-16,2021-10-15,Qimai_출시일,302342126.0100005,863834645.7428586,1261198582784.5737,12611.985827845738,1438499417,https://apps.apple.com/cn/app/id1438499417,https://www.qimai.cn/app/baseinfo/appid/1438499417/country/cn,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/tian-ya-ming-yue-dao-shi-jie/1438499417/,深圳,선전,广东省,광둥성,22.5431,114.0579,high,대표 개발사/브랜드 매핑: 腾讯 → 深圳,630599291392.2869,6305.992913922869,431917322.8714293,11262321.457142856,16442989327.42857,164.4298932742857,3941812.5099999993,2025-06-01,2026-05-31,8221494663.714285,82.21494663714284,5631160.728571428
10,崩坏：星穹铁道,崩坏：星穹铁道,미호요/호요버스,米哈游,서브컬처,서브컬처,서브컬처,서브컬처,상,RPG,RPG/어드벤처,RPG/어드벤처,2023-04-23,2024-04-22,Qimai_출시일,295900801.98999983,845430862.828571,1234329059729.7136,12343.290597297137,1523037824,https://apps.apple.com/cn/app/id1523037824,https://www.qimai.cn/app/baseinfo/appid/1523037824/country/cn,https://app.sensortower.com/ios/cn/mihoyo-games/app/beng-pi-xing-qiong-tie-dao/1523037824/,上海,상하이,上海市,상하이시,31.2304,121.4737,high,대표 개발사/브랜드 매핑: 米哈游 → 上海,617164529864.8568,6171.645298648568,422715431.4142855,216796751.14285716,316523256668.5715,3165.2325666857146,75878862.9,2025-06-01,2026-05-31,158261628334.28574,1582.6162833428573,108398375.57142858
