Unified ID,Unified Publisher Name,Unified Publisher ID,Publisher Name,Publisher ID,App Name,App ID,Qimai_App_ID,Qimai_중국_게임명,Qimai_중국_부제,Qimai_개발자명_raw,Qimai_공급사명,Qimai_퍼블리셔명,Qimai_개발사_중문표준,Qimai_개발사_한글표기,Qimai_개발사_영문표준,개발사_표준화방식,Qimai_장르_raw,Qimai_장르_한글,SensorTower_카테고리_IDs,SensorTower_카테고리_전체_EN,SensorTower_카테고리_전체_KO,SensorTower_큰장르_EN,SensorTower_큰장르_KO,SensorTower_세부장르_EN,SensorTower_세부장르_KO,战略大品类Tag,战略细分品类Tag,전략대분류_KO,전략세부분류_KO,战略Tag_判定依据,战略Tag_置信度,SensorTower_대표세부장르_EN,SensorTower_대표세부장르_KO,SensorTower_보조세부장르_EN,SensorTower_보조세부장르_KO,SensorTower_장르태그_API상태,SensorTower_장르태그_API오류,SensorTower_메타_게임명,SensorTower_메타_퍼블리셔,Qimai_출시일,Qimai_업데이트일,Qimai_Bundle_ID,Qimai_AppStore_URL,Qimai_URL,Qimai_데이터출처,Qimai_매칭점수,Qimai_매칭근거,검토메모,퍼블리셔명_보완메모,Qimai_출시일_releasecmp,SensorTower_출시일,출시일_비교결과,출시일_일수차이_ST_minus_Qimai,SensorTower_게임명,SensorTower_퍼블리셔명,SensorTower_URL,Qimai_출시일_비교파일,Qimai_출시일_final,적용_출시일,적용_출시일_출처,적용_출시일_메모,매출집계_시작일,매출집계_종료일,적용_출시일_출처_초기,최종_매출집계_시작일,최종_매출집계_종료일,최종_출시일_매출기준,매출기반_추정시작월,SensorTower_전체기간_Net_USD_참고,SensorTower_전체기간_월row수_참고,SensorTower_iOS_Net_USD_12개월,원매출_Gross_USD_수수료포함_12개월,원매출_Gross_KRW_수수료포함_12개월,원매출_Gross_KRW_억원_12개월,환율_KRW_per_USD,플랫폼수수료_가정,ST_일별row_일수,매출집계_메모,최근12개월_매출집계_시작일,최근12개월_매출집계_종료일,최근12개월_SensorTower_iOS_Net_USD,최근12개월_원매출_Gross_USD_수수료포함,최근12개월_원매출_Gross_KRW_수수료포함,최근12개월_원매출_Gross_KRW_억원,최근12개월_ST_일수,최근12개월_ST_매출상태
642b4a61ad4adb7799a83a83,Tencent,5614b2f53f07e2077c000059,Shenzhen Tencent Tianyou Technology Ltd,1586101358,王者荣耀,989673964,989673964.0,王者荣耀,S43赛季  陌上相逢,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,腾讯,텐센트,Tencent,sensor_tower_company_alias,动作/策略,액션/전략,"6014,6016,7001,7017",Games/Entertainment/Action/Strategy,게임/엔터테인먼트/액션/전략,Games,게임,Action/Strategy,액션/전략,MOBA,5v5 공정 MOBA,MOBA,5v5 공정 MOBA,19개 대분류 재태깅: 키워드/MOBA,상,Action,액션,Strategy,전략,성공,,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,2015-10-28,2026-03-31,com.tencent.smoba,https://apps.apple.com/cn/app/id989673964,https://www.qimai.cn/app/baseinfo/appid/989673964/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2015-10-28,,ST_출시일없음,,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/wang-zhe-rong-yao/989673964/,2015-10-28,2015-10-28,2015-10-28,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2015-10-28,2016-10-27,Qimai_출시일,2015-10-28,2016-10-27,Qimai_출시일,,,,270669631.82000005,386670902.6000001,564539517796.0001,5645.395177960001,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,366,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,1365805299.7200007,1951150428.1714299,2848679625130.2876,28486.796251302876,365,정상
65c10196ad4adb117910c1d4,Tencent,5614b2f53f07e2077c000059,Shenzhen Tencent Tianyou Technology Ltd,1586101358,和平精英,1321803705,1321803705.0,和平精英,夏日焕新,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,腾讯,텐센트,Tencent,sensor_tower_company_alias,动作/策略,액션/전략,"6014,7001,7017",Games/Action/Strategy,게임/액션/전략,Games,게임,Action/Strategy,액션/전략,FPS/TPS,FPS,FPS/TPS,FPS,19개 대분류 재태깅: 슈팅 기본→FPS,상,Action,액션,Strategy,전략,성공,,和平精英,Shenzhen Tencent Tianyou Technology Ltd,2018-02-05,2026-04-13,com.tencent.tmgp.pubgmhd,https://apps.apple.com/cn/app/id1321803705,https://www.qimai.cn/app/baseinfo/appid/1321803705/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2018-02-05,,ST_출시일없음,,和平精英,Shenzhen Tencent Tianyou Technology Ltd,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/he-ping-jing-ying/1321803705/,2018-02-05,2018-02-05,2018-02-05,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2018-02-05,2019-02-04,Qimai_출시일,2019-05-01,2020-04-30,매출발생월_추정,2019-05-01,5463636423.579998,100.0,922657289.7199996,1318081842.4571424,1924399489987.428,19243.99489987428,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,366,Sensor Tower 출시일 없음 → Qimai 출시일 사용 | 기존 출시일 12개월 매출 없음 → Sensor Tower 전체 월매출 최초 발생월 기준으로 재산정,2025-06-01,2026-05-31,705101185.7299999,1007287408.1857142,1470639615951.1428,14706.396159511429,365,정상
66b1f458d72cf61108f8c2c6,Tencent,5614b2f53f07e2077c000059,Shenzhen Tencent Tianyou Technology Ltd,1586101358,三角洲行动,1642894547,1642894547.0,三角洲行动,新一代战术射击品质标杆,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,腾讯,텐센트,Tencent,sensor_tower_company_alias,动作,액션,"6014,7001",Games/Action,게임/액션,Games,게임,Action,액션,SRPG,SRPG,SRPG,SRPG,19개 대분류 재태깅: 기존 턴제/SRPG,상,Action,액션,,,성공,,三角洲行动,Shenzhen Tencent Tianyou Technology Ltd,2024-09-26,2026-04-15,com.tencent.tmgp.dfm,https://apps.apple.com/cn/app/id1642894547,https://www.qimai.cn/app/baseinfo/appid/1642894547/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2024-09-26,,ST_출시일없음,,三角洲行动,Shenzhen Tencent Tianyou Technology Ltd,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/san-jiao-zhou-xing-dong/1642894547/,2024-09-26,2024-09-26,2024-09-26,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2024-09-26,2025-09-25,Qimai_출시일,2024-09-26,2025-09-25,Qimai_출시일,,,,186300632.72000003,266143761.0285715,388569891101.7144,3885.698911017144,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,365,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,503437224.48000014,719196034.9714289,1050026211058.2861,10500.262110582862,365,정상
5da67c09a546ab1edeb6c50d,Tencent,5614b2f53f07e2077c000059,Shenzhen Tencent Tianyou Technology Ltd,1586101358,金铲铲之战,1478101301,1478101301.0,金铲铲之战,英雄联盟云顶之弈正版授权手游,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,腾讯,텐센트,Tencent,sensor_tower_company_alias,卡牌/策略,카드/전략,"6014,7005,7017",Games/Card/Strategy,게임/카드/전략,Games,게임,Card/Strategy,카드/전략,카드게임,오토체스 카드,카드게임,오토체스 카드,19개 대분류 재태깅: 기존 오토체스 카드,상,Card,카드,Strategy,전략,성공,,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,2021-08-26,2026-04-22,com.tencent.jkchess,https://apps.apple.com/cn/app/id1478101301,https://www.qimai.cn/app/baseinfo/appid/1478101301/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2021-08-26,,ST_출시일없음,,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/jin-chan-chan-zhi-zhan/1478101301/,2021-08-26,2021-08-26,2021-08-26,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2021-08-26,2022-08-25,Qimai_출시일,2021-08-26,2022-08-25,Qimai_출시일,,,,182416881.09,260595544.4142857,380469494844.8571,3804.6949484485713,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,365,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,320534791.6900002,457906845.2714288,668543994096.2861,6685.439940962861,365,정상
638ee532480da915a62f0b34,Century Games,620d3b8db3ae27635539cde2,Shanghai Qingdi Technology Company Limited,1733003236,无尽冬日,6478492012,6478492012.0,无尽冬日,一亿玩家在玩的冰雪游戏,Shanghai Qingdi Technology Company Limited,Shanghai Qingdi Technology Company Limited,Shanghai Qingdi Technology Company Limited,点点互动,센추리게임즈/디앤디엔,Century Games / DianDian,sensor_tower_company_alias,模拟/策略,시뮬레이션/전략,"6014,7015,7017",Games/Simulation/Strategy,게임/시뮬레이션/전략,Games,게임,Simulation/Strategy,시뮬레이션/전략,SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,19개 대분류 재태깅: 기존 SLG 세부→하드 SLG,상,Simulation,시뮬레이션,Strategy,전략,성공,,无尽冬日,Shanghai Qingdi Technology Company Limited,2024-05-31,2026-05-25,com.gof.china,https://apps.apple.com/cn/app/id6478492012,https://www.qimai.cn/app/baseinfo/appid/6478492012/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2024-05-31,,ST_출시일없음,,无尽冬日,Shanghai Qingdi Technology Company Limited,https://app.sensortower.com/ios/cn/shanghai-qingdi-technology-company-limited/app/wu-jin-dong-ri/6478492012/,2024-05-31,2024-05-31,2024-05-31,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2024-05-31,2025-05-30,Qimai_출시일,2024-05-31,2025-05-30,Qimai_출시일,,,,289158256.12999994,413083223.04285705,603101505642.5713,6031.015056425713,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,365,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,324167568.39000034,463096526.27142906,676120928356.2864,6761.209283562864,365,정상
619f66c33c2bc563d96d12e6,Tencent,5614b2f53f07e2077c000059,Tencent Mobile Games,446324237,地下城与勇士：起源,1529851592,1529851592.0,地下城与勇士：起源,DNF手游2周年庆，领天空打团本,Tencent Mobile Games,Shenzhen Tencent Computer Systems Company Limited,Tencent Mobile Games,腾讯,텐센트,Tencent,sensor_tower_company_alias,角色扮演/动作,RPG/액션,"6014,7014,7001",Games/Role Playing/Action,게임/RPG/액션,Games,게임,Role Playing/Action,RPG/액션,ARPG,ARPG,ARPG,ARPG,19개 대분류 재태깅: 기존 ARPG,상,Role Playing,RPG,Action,액션,성공,,地下城与勇士：起源,Tencent Mobile Games,2024-05-19,2026-05-19,com.tencent.cdnf,https://apps.apple.com/cn/app/id1529851592,https://www.qimai.cn/app/baseinfo/appid/1529851592/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2024-05-19,,ST_출시일없음,,地下城与勇士：起源,Tencent Mobile Games,https://app.sensortower.com/ios/cn/tencent-mobile-games/app/di-xia-cheng-yu-yong-shi-qi-yuan/1529851592/,2024-05-19,2024-05-19,2024-05-19,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2024-05-19,2025-05-18,Qimai_출시일,2024-05-19,2025-05-18,Qimai_출시일,,,,790987508.0300006,1129982154.3285725,1649773945319.7156,16497.739453197155,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,364,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,207453853.39999992,296362647.7142856,432689465662.857,4326.89465662857,365,정상
565ff9f502ac6459a0000035,Tencent,5614b2f53f07e2077c000059,Shenzhen Tencent Tianyou Technology Ltd,1586101358,穿越火线-枪战王者,1042545880,1042545880.0,穿越火线-枪战王者,CF手游赏金决胜版本上线,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,腾讯,텐센트,Tencent,sensor_tower_company_alias,策略/动作,전략/액션,"6014,7017,7001",Games/Strategy/Action,게임/전략/액션,Games,게임,Strategy/Action,전략/액션,FPS/TPS,FPS,FPS/TPS,FPS,19개 대분류 재태깅: 기존 FPS,상,Strategy,전략,Action,액션,성공,,穿越火线-枪战王者,Shenzhen Tencent Tianyou Technology Ltd,2015-12-03,2026-04-15,com.tencent.tmgp.cf,https://apps.apple.com/cn/app/id1042545880,https://www.qimai.cn/app/baseinfo/appid/1042545880/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2015-12-03,,ST_출시일없음,,穿越火线-枪战王者,Shenzhen Tencent Tianyou Technology Ltd,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/chuan-yue-huo-xian-qiang-zhan-wang-zhe/1042545880/,2015-12-03,2015-12-03,2015-12-03,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2015-12-03,2016-12-02,Qimai_출시일,2015-12-03,2016-12-02,Qimai_출시일,,,,85797471.80000007,122567816.85714296,178949012611.42874,1789.4901261142877,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,366,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,151454704.5199999,216363863.59999985,315891240855.99976,3158.9124085599974,365,정상
55f8a14b02ac64a380000030,NetEase,560c44888ac35064390048b9,网易移动游戏,656116440,梦幻西游,940547441,940547441.0,梦幻西游,网易出品，招牌回合制手游,网易移动游戏,"Hangzhou NetEase Leihuo Technology Co., Ltd.",网易移动游戏,网易,넷이즈,NetEase,sensor_tower_company_alias,动作/角色扮演,액션/RPG,"6014,7001,7014",Games/Action/Role Playing,게임/액션/RPG,Games,게임,Action/Role Playing,액션/RPG,SRPG,SRPG,SRPG,SRPG,19개 대분류 재태깅: 기존 턴제/SRPG,상,Action,액션,Role Playing,RPG,성공,,梦幻西游,网易移动游戏,2015-03-25,2026-06-11,com.netease.my,https://apps.apple.com/cn/app/id940547441,https://www.qimai.cn/app/baseinfo/appid/940547441/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2015-03-25,2015-06-01,불일치,68.0,梦幻西游,网易移动游戏,https://app.sensortower.com/ios/cn/wang-yi-yi-dong-you-xi/app/meng-huan-xi-you/940547441/,2015-03-25,2015-03-25,2015-06-01,SensorTower_출시일,Sensor Tower release_date 우선 사용,2015-06-01,2016-05-31,SensorTower_출시일,2015-06-01,2016-05-31,SensorTower_출시일,,,,516363490.33000034,737662129.0428576,1076986708402.572,10769.867084025722,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,366,Sensor Tower release_date 우선 사용,2025-06-01,2026-05-31,201897783.4599998,288425404.94285685,421101091216.571,4211.01091216571,365,정상
654319170b276e064b329296,Papergames,5a316e060211a699e40b7cf5,Paper Games,946033492,恋与深空,1618911882,1618911882.0,恋与深空,超现实3D沉浸恋爱互动手游,Paper Games,"PAPE Co.,Ltd",Paper Games,叠纸,페이퍼게임즈,Paper Games,sensor_tower_company_alias,模拟,시뮬레이션,"6014,7015",Games/Simulation,게임/시뮬레이션,Games,게임,Simulation,시뮬레이션,여성향 전용,오토메 연애 RPG,여성향 전용,오토메 연애 RPG,19개 대분류 재태깅: 키워드/여성향 오토메,상,Simulation,시뮬레이션,,,성공,,恋与深空,Paper Games,2024-01-15,2025-12-30,com.papegames.lysk,https://apps.apple.com/cn/app/id1618911882,https://www.qimai.cn/app/baseinfo/appid/1618911882/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2024-01-15,,ST_출시일없음,,恋与深空,Paper Games,https://app.sensortower.com/ios/cn/paper-games/app/lian-yu-shen-kong/1618911882/,2024-01-15,2024-01-15,2024-01-15,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2024-01-15,2025-01-14,Qimai_출시일,2024-01-15,2025-01-14,Qimai_출시일,,,,174371644.34999987,249102349.0714284,363689429644.2855,3636.894296442855,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,366,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,157831282.18,225473260.25714287,329190959975.4286,3291.909599754286,365,정상
5da680bb42fa0c4364eb64c8,Tencent,5614b2f53f07e2077c000059,Shenzhen Tencent Tianyou Technology Ltd,1586101358,英雄联盟手游,1455054000,1455054000.0,英雄联盟手游,全速竞逐 S21赛季,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,腾讯,텐센트,Tencent,sensor_tower_company_alias,动作/策略,액션/전략,"6014,6016,7001,7017",Games/Entertainment/Action/Strategy,게임/엔터테인먼트/액션/전략,Games,게임,Action/Strategy,액션/전략,MOBA,5v5 공정 MOBA,MOBA,5v5 공정 MOBA,19개 대분류 재태깅: 키워드/MOBA,상,Action,액션,Strategy,전략,성공,,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,2021-10-08,2026-05-07,com.tencent.lolm,https://apps.apple.com/cn/app/id1455054000,https://www.qimai.cn/app/baseinfo/appid/1455054000/country/cn,existing_cache_app_id,,,,sensor_tower_company_alias,2021-10-08,,ST_출시일없음,,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,https://app.sensortower.com/ios/cn/shenzhen-tencent-tianyou-technology-ltd/app/ying-xiong-lian-meng-shou-you/1455054000/,2021-10-08,2021-10-08,2021-10-08,Qimai_출시일,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2021-10-08,2022-10-07,Qimai_출시일,2021-10-08,2022-10-07,Qimai_출시일,,,,256460012.41,366371446.3,534902311598.0,5349.02311598,1460,Sensor Tower iOS Net / 0.70 = 수수료 포함 원매출,365,Sensor Tower 출시일 없음 → Qimai 출시일 사용,2025-06-01,2026-05-31,134773321.70999995,192533316.72857136,281098642423.7142,2810.986424237142,365,정상
