战略大品类Tag,战略细分品类Tag,전략대분류_KO,전략세부분류_KO,게임수,Gross_KRW_원_12개월,Gross_KRW_억원_12개월,Gross_USD_12개월,대표게임
ARPG,ARPG,ARPG,ARPG,134,15096010818896.004,150960.10818896003,10339733437.600002,"地下城与勇士：起源, 完美世界, 我叫MT4, 暗黑破坏神：不朽-星际争霸, 晶核, 燕云十六声, 永恒纪元, 冒险岛：枫之传说"
FPS/TPS,FPS,FPS/TPS,FPS,16,6983523243789.143,69835.23243789142,4783235098.485714,"和平精英, 无畏契约：源能行动, 全民突击, 向僵尸开炮-尸潮来袭, 穿越火线-枪战王者, 使命召唤手游, 荒野行动, 暗区突围"
MMORPG,MMORPG,MMORPG,MMORPG,75,11485385677239.432,114853.85677239431,7866702518.657145,"逆水寒, 天涯明月刀·世界, 倩女幽魂, 天龙八部手游, 新剑侠情缘, 一梦江湖, 热血传奇, 新笑傲江湖"
MOBA,5v5 공정 MOBA,MOBA,5v5 공정 MOBA,9,2293924810878.8574,22939.24810878857,1571181377.314286,"王者荣耀, 英雄联盟手游, 决战！平安京, 宝可梦大集结, 王者荣耀世界, 决胜巅峰, 云•王者荣耀, 英魂之刃-5V5公平竞技MOBA手游"
SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,72,7990096640010.858,79900.96640010858,5472668931.514286,"三国志·战略版, 无尽冬日, 万国觉醒, 梦幻模拟战, 明日之后, 红警OL, 征途, 文明与征服-攻城策略对战 重启全面战争时代"
SLG/전략게임,라이트 SLG,SLG/전략게임,라이트 SLG,71,7160371216411.43,71603.71216411429,4904363846.857143,"阴阳师, 乱世王者, 三国：谋定天下, 问道, 浮生为卿歌, 星际猎人-无尽的拉格朗日全面焕新, 守望黎明, 神雕侠侣2"
SRPG,SRPG,SRPG,SRPG,32,6702401142690.287,67024.01142690287,4590685714.17143,"梦幻西游, 大话西游, 三角洲行动, 长安幻想, 梦幻诛仙, 梦幻西游三维版, 梦幻新诛仙.魔天音, 幻唐志：逍遥外传"
경기/스포츠·레이싱,레이싱/경주,경기/스포츠·레이싱,레이싱/경주,20,2440975896373.1445,24409.75896373145,1671901298.8857155,"QQ飞车, 跑跑卡丁车官方竞速版, 巅峰极速-趣游华夏, 王牌竞速-车姬, 极品飞车：集结, 狂野飙车9：竞速传奇, 腾讯桌球 -经典台球八球斯诺克, 四驱兄弟"
경기/스포츠·레이싱,스포츠,경기/스포츠·레이싱,스포츠,37,1220042303355.429,12200.423033554289,835645413.257143,"美职篮全明星, 灌篮高手 正版授权手游, FC足球世界-杯赛, 欢乐钓鱼大师, 最强美职篮, 实况足球, 街篮, 豪门足球风云-FIFPro官方授权3D掌上足球手游"
경기/스포츠·레이싱,파티게임,경기/스포츠·레이싱,파티게임,11,1058289480973.1432,10582.894809731431,724855808.8857147,"蛋仔派对, 元梦之星, 全明星街球派对 - NBA正版授权, 众神派对, 梦想协奏曲！少女乐团派对！, 暴吵萌厨, 皮卡堂之梦想起源, 香肠派对"
경영/시뮬레이션,도시건설 경영,경영/시뮬레이션,도시건설 경영,19,633178814157.143,6331.788141571429,433684119.2857143,"奥比岛：梦想国度, 江南百景图, 这城有良田, 桃源深处有人家, 全民学霸-经营你的校园！, 辐射：避难所Online, 我是大东家, 梦想城镇 - Township"
경영/시뮬레이션,인테리어/리모델링 경영,경영/시뮬레이션,인테리어/리모델링 경영,3,294707201788.0,2947.07201788,201854247.79999998,"我的花园世界, 织梦森林-种一朵花，织一场梦, 四季物语-梦幻改装逆袭人生"
경영/시뮬레이션,매장 경영,경영/시뮬레이션,매장 경영,7,259862160343.42853,2598.6216034342856,177987781.05714282,"叫我大掌柜, 时光杂货店, 开间小店, 大店小二, 潜水员戴夫, 可口的比萨, 楼下的早餐店：美食烹饪游戏"
경영/시뮬레이션,농장/목장/양식,경영/시뮬레이션,농장/목장/양식,6,117704442051.42865,1177.0444205142865,80619480.8571429,"心动小镇, 卡通农场, 米姆米姆哈, 浪漫庄园(自由创造你的梦想), QQ农场, 天天农场（Family Farm Seaside）"
"머지, 퍼즐, 합성","머지, 퍼즐, 합성","머지, 퍼즐, 합성","머지, 퍼즐, 합성",8,65331517107.428566,653.3151710742857,44747614.45714285,"幻兽爱合成, 浪漫餐厅™-Gossip Harbor, 梦幻旅行, 梦幻庄园, 向往的生活官方游戏, 召唤与合成, 爆炸奇兵, X2 Blocks: 2048 数字游戏"
