developer_name,developer_name_en,developer_name_cn,developer_name_ko,developer_display_name,app_count,ios_gross_source_revenue_usd,revenue_usd_2025_cn_ios,revenue_basis,revenue_adjustment_multiplier,downloads_2025_cn_ios,avg_arpd_usd_2025_cn_ios,best_rank,developer_city_en,developer_city_ko,developer_country,location_precision,top_games,genres,subgenres,genre_search_text,game_classes,product_models,art_styles,themes,monetization_f2p,monetization_live_ops,monetization_gacha,publishers,corporate_parents,stock_tickers,avg_match_score,primary_genre,primary_subgenre,primary_genre_revenue_usd,primary_genre_revenue_share,primary_genre_top_games,primary_genre_revenue_share_pct,bd_score,bd_priority,bd_fit
Shenzhen Tencent Tianyou Technology Ltd,Shenzhen Tencent Tianyou Technology Ltd,深圳市腾讯天游科技有限公司,텐센트 톈유,深圳市腾讯天游科技有限公司 / 텐센트 톈유,58,3787240721.96,5302137010.7439995,2025 중국 iOS+AOS 추정 순매출,1.4,141600230,36.32341668143448,1,Shenzhen,선전,China,city,"王者荣耀, 和平精英, 金铲铲之战, 三角洲行动, 穿越火线-枪战王者, 英雄联盟手游, 火影忍者, 无畏契约：源能行动, 欢乐斗地主, QQ飞车","Strategy, Shooter, Action, Casino, Racing, Arcade, Sports, RPG, Tabletop, Simulation","MOBA, Battle Royale, Auto Chess, FPS / 3PS, Beat 'em Up, Landlord, Kart Racing, Music / Rhythm, Realistic Sports, Build & Battle","Strategy MOBA 전략 策略 MOBA 多人在线战术竞技 전략 / MOBA · 策略 / 多人在线战术竞技 · Strategy / MOBA, Shooter Battle Royale 슈팅 射击 배틀로얄 大逃杀 슈팅 / 배틀로얄 · 射击 / 大逃杀 · Shooter / Battle Royale, Strategy Auto Chess 전략 策略 오토체스 自走棋 전략 / 오토체스 · 策略 / 自走棋 · Strategy / Auto Chess, Shooter FPS / 3PS 슈팅 射击 FPS/TPS 第一/第三人称射击 슈팅 / FPS/TPS · 射击 / 第一/第三人称射击 · Shooter / FPS / 3PS, Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up, Casino Landlord 카지노 博彩/棋牌 도우디주/랜드로드 斗地主 카지노 / 도우디주/랜드로드 · 博彩/棋牌 / 斗地主 · Casino / Landlord, Racing Kart Racing 레이싱 竞速 카트 레이싱 卡丁车 레이싱 / 카트 레이싱 · 竞速 / 卡丁车 · Racing / Kart Racing, Arcade Music / Rhythm 아케이드 街机 음악/리듬 音乐/节奏 아케이드 / 음악/리듬 · 街机 / 音乐/节奏 · Arcade / Music / Rhythm, Sports Realistic Sports 스포츠 体育 리얼 스포츠 拟真体育 스포츠 / 리얼 스포츠 · 体育 / 拟真体育 · Sports / Realistic Sports, Strategy Build & Battle 전략 策略 건설+전투 建造战斗 전략 / 건설+전투 · 策略 / 建造战斗 · Strategy / Build & Battle","Action & Strategy, Casino, Sports & Racing, Lifestyle & Puzzle","Mid-core, Casual","Stylized Realistic, 3D Realistic, 2D Anime, 3D Anime, 2D Cartoon, 3D Cartoon, 2D Realistic","Combat Arena, Battlefield Commander, Military, Japanese Cultural, Tabletop, Racing - Road, Idol, Sports - Basketball, Empire Building, Game Show",1.0,1.0,1.0,Shenzhen Tencent Tianyou Technology Ltd,"Tencent, Hitotsubashi Group, NBA, Microsoft, Nexon, Konami, EA, Netmarble, SNK, Square Enix",HK: 0700,100.0,Strategy,MOBA,2131216810.744,0.401954307560405,"王者荣耀, 英雄联盟手游, 云•王者荣耀, 宝可梦大集结, 云·英雄联盟手游",40.1954307560405,94.0,A-핵심 타깃,"전략 / MOBA · 策略 / 多人在线战术竞技 · Strategy / MOBA · 40% 집중 · LiveOps · Gacha · Mid-core, Casual"
"Hangzhou NetEase Leihuo Technology Co., Ltd.","Hangzhou NetEase Leihuo Technology Co., Ltd.",杭州网易雷火科技有限公司,넷이즈 레이훠,杭州网易雷火科技有限公司 / 넷이즈 레이훠,74,914804498.83,1280726298.362,2025 중국 iOS+AOS 추정 순매출,1.4,61081841,27.732020096527627,8,Hangzhou,항저우,China,city,"梦幻西游, 蛋仔派对, 第五人格, 燕云十六声, 逆水寒, 光·遇, 率土之滨, 实况足球, 永劫无间, 阴阳师","RPG, Arcade, Action, Strategy, Sports, Shooter, Lifestyle, Racing, Puzzle, Tabletop","MMORPG, Party Royale, Asymmetric Battle, Open World Adventure, 4X Strategy, Realistic Sports, Battle Royale, Squad RPG, Interactive Story, Realistic Racing","RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, Arcade Party Royale 아케이드 街机 파티 로얄 派对竞技 아케이드 / 파티 로얄 · 街机 / 派对竞技 · Arcade / Party Royale, Action Asymmetric Battle 액션 动作 비대칭 대전 非对称竞技 액션 / 비대칭 대전 · 动作 / 非对称竞技 · Action / Asymmetric Battle, RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, Sports Realistic Sports 스포츠 体育 리얼 스포츠 拟真体育 스포츠 / 리얼 스포츠 · 体育 / 拟真体育 · Sports / Realistic Sports, Shooter Battle Royale 슈팅 射击 배틀로얄 大逃杀 슈팅 / 배틀로얄 · 射击 / 大逃杀 · Shooter / Battle Royale, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, Lifestyle Interactive Story 라이프스타일 生活方式 인터랙티브 스토리 互动剧情 라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story, Racing Realistic Racing 레이싱 竞速 리얼 레이싱 拟真竞速 레이싱 / 리얼 레이싱 · 竞速 / 拟真竞速 · Racing / Realistic Racing","Action & Strategy, Lifestyle & Puzzle, Sports & Racing","Mid-core, Casual","2D Anime, 3D Cartoon, 3D Realistic, Stylized Realistic, 2D Realistic, 3D Anime, Neon, 2D Cartoon, Pixel","Journey to the West, Game Show, Horror, Wuxia, Adventure, Three Kingdoms, Sports - Soccer, Combat Arena, Japanese Cultural, Otome",1.0,1.0,1.0,网易移动游戏,"FIFPro, Independent Brand, NBA, Microsoft, AT&T, Disney, Hitotsubashi Group, Mattel",NASDAQ: NTES,100.0,RPG,MMORPG,485160013.14199996,0.3788163120898674,"梦幻西游, 逆水寒, 倩女幽魂, 大话西游, 灵兽大冒险, 暗黑破坏神：不朽-毁灭战士, 一梦江湖, 云・逆水寒, 天下-九周年庆, 镇魔曲：六周年",37.88163120898674,93.7,A-핵심 타깃,"RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG · 38% 집중 · LiveOps · Gacha · Mid-core, Casual"
Shenzhen Tencent Computer Systems Company Limited,Shenzhen Tencent Computer Systems Company Limited,深圳市腾讯计算机系统有限公司,텐센트 컴퓨터,深圳市腾讯计算机系统有限公司 / 텐센트 컴퓨터,62,570364813.84,798510739.3759999,2025 중국 iOS+AOS 추정 순매출,1.4,18364541,176.19643864807128,6,Shenzhen,선전,China,city,"地下城与勇士：起源, FC足球世界-Next, 光与夜之恋, 腾讯欢乐麻将全集, 新剑侠情缘, 天天爱消除, 天龙八部手游, 英雄杀, 红警OL, 完美世界","Action, Sports, Lifestyle, Casino, RPG, Puzzle, Strategy, Racing, Arcade, Shooter","Beat 'em Up, Realistic Sports, Interactive Story, Mahjong, MMORPG, Match Swap, Card Battler, 4X Strategy, Squad RPG, Kart Racing","Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up, Sports Realistic Sports 스포츠 体育 리얼 스포츠 拟真体育 스포츠 / 리얼 스포츠 · 体育 / 拟真体育 · Sports / Realistic Sports, Lifestyle Interactive Story 라이프스타일 生活方式 인터랙티브 스토리 互动剧情 라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story, Casino Mahjong 카지노 博彩/棋牌 마작 麻将 카지노 / 마작 · 博彩/棋牌 / 麻将 · Casino / Mahjong, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, Puzzle Match Swap 퍼즐 益智 스왑 매치3 交换消除 퍼즐 / 스왑 매치3 · 益智 / 交换消除 · Puzzle / Match Swap, Strategy Card Battler 전략 策略 카드 배틀 卡牌对战 전략 / 카드 배틀 · 策略 / 卡牌对战 · Strategy / Card Battler, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, Racing Kart Racing 레이싱 竞速 카트 레이싱 卡丁车 레이싱 / 카트 레이싱 · 竞速 / 卡丁车 · Racing / Kart Racing","Action & Strategy, Sports & Racing, Lifestyle & Puzzle, Casino","Mid-core, Casual","Pixel, 3D Realistic, 2D Anime, 2D Realistic, 3D Anime, 2D Cartoon, Stylized Realistic, 3D Cartoon","Adventure, Sports - Soccer, Otome, Mahjong, Wuxia, Chibi Creature, Chinese Cultural, Military, Sports - Basketball, Japanese Cultural",1.0,1.0,1.0,Tencent Mobile Games,"Nexon, FIFPro, Independent Brand, NBA, Hitotsubashi Group, Toei Company, SNK, WeMade Entertainment, AT&T",HK: 0700,100.0,Action,Beat 'em Up,416423468.46799994,0.5215001476290927,"地下城与勇士：起源, 天天炫斗",52.15001476290927,95.0,A-핵심 타깃,"액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up · 52% 집중 · LiveOps · Gacha · Mid-core, Casual"
Shanghai Qingdi Technology Company Limited,Shanghai Qingdi Technology Company Limited,上海青笛科技有限公司,상하이 칭디,上海青笛科技有限公司 / 상하이 칭디,1,334629153.3,468480814.62,2025 중국 iOS+AOS 추정 순매출,1.4,4053994,115.56031277303322,4,Shanghai,상하이,China,city,无尽冬日,Strategy,4X Strategy,Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy,Action & Strategy,Mid-core,3D Cartoon,Post-Apocalypse,1.0,1.0,1.0,Shanghai Qingdi Technology Company Limited,,,100.0,Strategy,4X Strategy,468480814.62,1.0,无尽冬日,100.0,85.3,A-핵심 타깃,전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy · 100% 집중 · LiveOps · Gacha · Mid-core
"Shanghai miHoYo YingTie Technology Co., Ltd.","Shanghai miHoYo YingTie Technology Co., Ltd.",上海米哈游影铁科技有限公司,미호요 잉티에,上海米哈游影铁科技有限公司 / 미호요 잉티에,9,253141570.67000002,354398198.93799996,2025 중국 iOS+AOS 추정 순매출,1.4,6863937,39.586966271697264,17,Shanghai,상하이,China,city,"原神·空月之歌, 崩坏：星穹铁道, 绝区零, 云·星穹铁道, 未定事件簿, 云·绝区零, 云·原神-空月之歌, 崩坏3, 崩坏学园2","RPG, Action, Lifestyle","Open World Adventure, Turn-based RPG, Hack and Slash, Interactive Story, Beat 'em Up","RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, RPG Turn-based RPG RPG/역할수행 角色扮演 턴제 RPG 回合制RPG RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG, Action Hack and Slash 액션 动作 핵앤슬래시 砍杀 액션 / 핵앤슬래시 · 动作 / 砍杀 · Action / Hack and Slash, Lifestyle Interactive Story 라이프스타일 生活方式 인터랙티브 스토리 互动剧情 라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story, Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up","Action & Strategy, Lifestyle & Puzzle","Mid-core, Casual","3D Anime, 2D Anime","Adventure, Space, Otome, Waifu",1.0,1.0,1.0,miHoYo Games,,,100.0,RPG,Turn-based RPG,141883141.32999998,0.40034949882694426,"崩坏：星穹铁道, 云·星穹铁道",40.03494988269443,93.0,A-핵심 타깃,"RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG · 40% 집중 · LiveOps · Gacha · Mid-core, Casual"
"PAPE Co.,Ltd","PAPE Co.,Ltd",上海叠纸互娱网络科技有限公司,디에즈 / 페이퍼게임즈,上海叠纸互娱网络科技有限公司 / 디에즈 / 페이퍼게임즈,5,235661721.97,329926410.75799996,2025 중국 iOS+AOS 추정 순매출,1.4,4304741,44.85938259637722,9,,,China,unknown,"恋与深空, 无限暖暖, 闪耀暖暖, 恋与制作人, 云·恋与深空","Lifestyle, RPG","Interactive Story, Open World Adventure, Customization","Lifestyle Interactive Story 라이프스타일 生活方式 인터랙티브 스토리 互动剧情 라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story, RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, Lifestyle Customization 라이프스타일 生活方式 커스터마이징 换装/定制 라이프스타일 / 커스터마이징 · 生活方式 / 换装/定制 · Lifestyle / Customization","Lifestyle & Puzzle, Action & Strategy","Casual, Mid-core","3D Anime, 2D Anime","Otome, Adventure, Fashion / Aesthetics / Hair",1.0,1.0,1.0,Paper Games,,,100.0,Lifestyle,Interactive Story,278300906.19799995,0.8435241833432148,"恋与深空, 恋与制作人, 云·恋与深空",84.35241833432147,96.2,A-핵심 타깃,"라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story · 84% 집중 · LiveOps · Gacha · Casual, Mid-core"
Tuyoo Online HK Limited,Tuyoo Online HK Limited,在线途游（北京）科技有限公司,투요우,在线途游（北京）科技有限公司 / 투요우,8,153155847.73999998,214418186.836,2025 중국 iOS+AOS 추정 순매출,1.4,4458196,80.46890940777935,14,,,China,unknown,"捕鱼大作战-街机打鱼游戏王者, 途游斗地主（比赛版）, 捕鱼大作战(途游), 富豪麻将-疯狂十三幺不洗牌, 电玩捕鱼-经典街机捕鱼高爆版, 途游麻将全集, 苏北掼蛋, 途游中国象棋-全民益智游戏","Casino, Tabletop","Fish Shooting, Landlord, Mahjong, Board","Casino Fish Shooting 카지노 博彩/棋牌 피쉬 슈팅 捕鱼 카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting, Casino Landlord 카지노 博彩/棋牌 도우디주/랜드로드 斗地主 카지노 / 도우디주/랜드로드 · 博彩/棋牌 / 斗地主 · Casino / Landlord, Casino Mahjong 카지노 博彩/棋牌 마작 麻将 카지노 / 마작 · 博彩/棋牌 / 麻将 · Casino / Mahjong, Tabletop Board 보드/테이블탑 桌游 보드게임 棋盘游戏 보드/테이블탑 / 보드게임 · 桌游 / 棋盘游戏 · Tabletop / Board","Casino, Lifestyle & Puzzle",Casual,"2D Cartoon, 2D Realistic, 3D Cartoon","Animal - Underwater, Tabletop, Mahjong",1.0,1.0,,Tuyoo Online HK Limited,,,100.0,Casino,Fish Shooting,154366579.65399998,0.7199323057986162,"捕鱼大作战-街机打鱼游戏王者, 捕鱼大作战(途游), 电玩捕鱼-经典街机捕鱼高爆版",71.99323057986162,95.7,A-핵심 타깃,카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting · 72% 집중 · LiveOps · Gacha · Casual
"Hainan Shengchang Network Technology Co., Ltd.","Hainan Shengchang Network Technology Co., Ltd.",海南盛昌网络科技有限公司,하이난 성창,海南盛昌网络科技有限公司 / 하이난 성창,1,107785635.7,150899889.98,2025 중국 iOS+AOS 추정 순매출,1.4,2062209,73.17390719369375,12,Hainan,하이난,China,province_or_region,向僵尸开炮-尸潮来袭,Strategy,Tower Defense,Strategy Tower Defense 전략 策略 타워디펜스 塔防 전략 / 타워디펜스 · 策略 / 塔防 · Strategy / Tower Defense,Action & Strategy,Hybridcasual,2D Cartoon,Zombie,1.0,1.0,,"Hainan Shengchang Network Technology Co., Ltd.",,,0.0,Strategy,Tower Defense,150899889.98,1.0,向僵尸开炮-尸潮来袭,100.0,84.8,A-핵심 타깃,전략 / 타워디펜스 · 策略 / 塔防 · Strategy / Tower Defense · 100% 집중 · LiveOps · Gacha · Hybridcasual
Happy Elements Technology (Beijing) Limited,Happy Elements Technology (Beijing) Limited,乐元素科技（北京）股份有限公司,해피엘리먼츠 / 러위안쑤,乐元素科技（北京）股份有限公司 / 해피엘리먼츠 / 러위안쑤,2,105410340.37,147574476.51799998,2025 중국 iOS+AOS 추정 순매출,1.4,11272056,8.732849666157001,13,Beijing,베이징,China,city,"开心消消乐®, 开心水族箱","Puzzle, Simulation","Match Swap, Simulator","Puzzle Match Swap 퍼즐 益智 스왑 매치3 交换消除 퍼즐 / 스왑 매치3 · 益智 / 交换消除 · Puzzle / Match Swap, Simulation Simulator 시뮬레이션 模拟经营 시뮬레이터 模拟器 시뮬레이션 / 시뮬레이터 · 模拟经营 / 模拟器 · Simulation / Simulator",Lifestyle & Puzzle,Casual,2D Cartoon,"Chibi Creature, Animal - Underwater",1.0,1.0,,乐元素,,,100.0,Puzzle,Match Swap,146737618.85999998,0.9943292520648181,开心消消乐®,99.43292520648181,93.0,A-핵심 타깃,퍼즐 / 스왑 매치3 · 益智 / 交换消除 · Puzzle / Match Swap · 99% 집중 · LiveOps · Gacha · Casual
Lingxi Games Inc.,Lingxi Games Inc.,广州灵犀互动娱乐有限公司,링시게임즈,广州灵犀互动娱乐有限公司 / 링시게임즈,13,104687529.47999999,146562541.27199998,2025 중국 iOS+AOS 추정 순매출,1.4,3412146,39.01151649904329,22,,,China,unknown,"三国志·战略版, 如鸢, 三国志幻想大陆, 三国志幻想大陆2：枭之歌, 三国志·战棋版, 大航海时代：传说, 狂野飙车9：竞速传奇, 森之国度, 荒原曙光, 仙境传说：重生","Strategy, RPG, Racing, Lifestyle","4X Strategy, Empire Simulation, Squad RPG, Turn-Based Tactics, MMORPG, Arcade Racing, Survival, Virtual Pet","Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, Strategy Empire Simulation 전략 策略 제국 시뮬레이션 帝国模拟 전략 / 제국 시뮬레이션 · 策略 / 帝国模拟 · Strategy / Empire Simulation, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, Strategy Turn-Based Tactics 전략 策略 턴제 전술 回合制战术 전략 / 턴제 전술 · 策略 / 回合制战术 · Strategy / Turn-Based Tactics, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, Racing Arcade Racing 레이싱 竞速 아케이드 레이싱 街机竞速 레이싱 / 아케이드 레이싱 · 竞速 / 街机竞速 · Racing / Arcade Racing, RPG Survival RPG/역할수행 角色扮演 서바이벌 生存 RPG/역할수행 / 서바이벌 · 角色扮演 / 生存 · RPG / Survival, Lifestyle Virtual Pet 라이프스타일 生活方式 가상 펫 虚拟宠物 라이프스타일 / 가상 펫 · 生活方式 / 虚拟宠物 · Lifestyle / Virtual Pet","Action & Strategy, Sports & Racing, Lifestyle & Puzzle","Mid-core, Casual","2D Realistic, 2D Anime, 3D Anime, 3D Realistic, 2D Cartoon, Stylized Realistic","Three Kingdoms, Chinese Cultural, Adventure, Racing - Street, Survival - Wilderness, Norse Mythos, Animal - Zoo / Other, Music",1.0,1.0,1.0,Lingxi Games Inc.,"Koei Tecmo, Gungho Online Entertainment",NYSE: BABA,100.0,Strategy,4X Strategy,106937745.36199999,0.729638995297838,"三国志·战略版, 云・三国志战略版",72.9638995297838,96.0,A-핵심 타깃,"전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy · 73% 집중 · LiveOps · Gacha · Mid-core, Casual"
